"","Country","Gender","variable","value"
"1","Somalia","Male","0-4",1543.1495
"2","Somalia","Female","0-4",1495.0615
"3","Kenya","Male","0-4",3441.717
"4","Kenya","Female","0-4",3405.1195
"5","Somalia","Male","5-9",1257.263
"6","Somalia","Female","5-9",1223.8345
"7","Kenya","Male","5-9",3375.74
"8","Kenya","Female","5-9",3360.0285
"9","Somalia","Male","10-14",1044.883
"10","Somalia","Female","10-14",1017.72
"11","Kenya","Male","10-14",3283.2055
"12","Kenya","Female","10-14",3277.6705
"13","Somalia","Male","15-19",877.763
"14","Somalia","Female","15-19",855.704
"15","Kenya","Male","15-19",2801.5285
"16","Kenya","Female","15-19",2839.5125
"17","Somalia","Male","20-24",723.847
"18","Somalia","Female","20-24",710.7735
"19","Kenya","Male","20-24",2321.5535
"20","Kenya","Female","20-24",2417.3285
"21","Somalia","Male","25-29",536.431
"22","Somalia","Female","25-29",532.288
"23","Kenya","Male","25-29",2061.3455
"24","Kenya","Female","25-29",2134.242
"25","Somalia","Male","30-34",462.9685
"26","Somalia","Female","30-34",463.549
"27","Kenya","Male","30-34",1895.051
"28","Kenya","Female","30-34",1890.069
"29","Somalia","Male","35-39",379.4745
"30","Somalia","Female","35-39",383.9605
"31","Kenya","Male","35-39",1576.92
"32","Kenya","Female","35-39",1534.2735
"33","Somalia","Male","40-44",298.4825
"34","Somalia","Female","40-44",304.239
"35","Kenya","Male","40-44",1250.255
"36","Kenya","Female","40-44",1224.177
"37","Somalia","Male","45-49",236.9395
"38","Somalia","Female","45-49",246.533
"39","Kenya","Male","45-49",987.345
"40","Kenya","Female","45-49",988.895
"41","Somalia","Male","50-54",189.965
"42","Somalia","Female","50-54",204.6665
"43","Kenya","Male","50-54",759.3185
"44","Kenya","Female","50-54",783.792
"45","Somalia","Male","55-59",152.4845
"46","Somalia","Female","55-59",167.9035
"47","Kenya","Male","55-59",549.993
"48","Kenya","Female","55-59",591.2615
"49","Somalia","Male","60-64",119.8025
"50","Somalia","Female","60-64",134.833
"51","Kenya","Male","60-64",373.5525
"52","Kenya","Female","60-64",422.413
"53","Somalia","Male","65-69",88.8385
"54","Somalia","Female","65-69",102.7895
"55","Kenya","Male","65-69",238.5085
"56","Kenya","Female","65-69",283.529
"57","Somalia","Male","70-74",51.9165
"58","Somalia","Female","70-74",62.6895
"59","Kenya","Male","70-74",174.1205
"60","Kenya","Female","70-74",205.4945
"61","Somalia","Male","75-79",28.2575
"62","Somalia","Female","75-79",36.4715
"63","Kenya","Male","75-79",90.0665
"64","Kenya","Female","75-79",141.118
"65","Somalia","Male","80-84",13.6075
"66","Somalia","Female","80-84",18.791
"67","Kenya","Male","80-84",49.86
"68","Kenya","Female","80-84",95.8455
"69","Somalia","Male","85-89",4.3265
"70","Somalia","Female","85-89",6.323
"71","Kenya","Male","85-89",26.3455
"72","Kenya","Female","85-89",51.731
"73","Somalia","Male","90-94",0.8765
"74","Somalia","Female","90-94",1.556
"75","Kenya","Male","90-94",10.896
"76","Kenya","Female","90-94",21.626
"77","Somalia","Male","95-99",0.094
"78","Somalia","Female","95-99",0.222
"79","Kenya","Male","95-99",3.802
"80","Kenya","Female","95-99",8.167
"81","Somalia","Male","100+",0.0045
"82","Somalia","Female","100+",0.017
"83","Kenya","Male","100+",1.069
"84","Kenya","Female","100+",2.9635
